Short Code	PLU	Description	SKU	EAN
APP	APPIPH17PMCSECLR	iPhone 17 Pro Max Clear Case with MagSafe	427149	195950664171
APP	APPIPH17PMSILCBLU	iPhone 17 Pro Max Silicone Case with MagSafe ? Midnight	427151	195950664096
APP	APPIPH17PCLRCSECLR	iPhone 17 Pro Clear Case with MagSafe	427145	195950664157
APP	APPIPH17PSILCSEBLU	iPhone 17 Pro Silicone Case with MagSafe ? Midnight	427143	195950663976
APP	APPIPH17CLRCSECLR	iPhone 17 Clear Case with MagSafe	427131	195950663693
APP	APPIPH17AIRCSECLR	iPhone Air Case with MagSafe ? Frost	427137	195950653656
APP	APPIPH16PMCLRCSECLR	Apple iPhone 16 Pro Max Clear Case	397432	195949884887
APP	APPIPH16PMSILCSEBLA	Apple iPhone 16 Pro Max Silicone Case	397433	195949885426
APP	APPIPH16PSILCSEBLA	Apple iPhone 16 Pro Silicone Case	397416	195949885266
APP	APPIPH16PCLRCSECLR	Apple iPhone 16 Pro Clear Case	397414	195949884863
APP	APPIPH16PLCLRCSECLR	Apple iPhone 16 Plus Clear Case	397424	195949882623
APP	APPIPH16PLSILCSEBLA	Apple iPhone 16 Plus Silicone Case	397425	195949885105
APP	APPIPH16CLRCSECLR	Apple iPhone 16 Clear Case	397440	195949882609
APP	APPIPH16SILCSEBLA	Apple iPhone 16 Silicone Case Black	397408	195949884948
APP	APPIPH16SILCSEBLU	Apple iPhone 16 Silicone Case Blue	397409	195949885044
APP	APPIPH16SILCSEGREE	Apple iPhone 16 Silicone Case Green	397410	195949885082
APP	APPIPH16ECSEWHI	Apple iPhone 16E Case	409320	195950217285
APP	APPIPH16ECSEGRE	Apple iPhone 16E Case	409322	195950217346
APP	APPIPH16ECSEBLA	Apple iPhone 16E Case	409321	195950217261
APP	APPIPH15CLRCSECLR	Apple iPhone 15 Clear Case	379889	194253940265
APP	APPIPH15SILCSEBLA	Apple iPhone 15 Silicone Case	379887	194253939306
APP	APPLIGHTEARPODSWHI	Apple EarPods w/ Lightning Connector	179178	190198001733
APP	APPAIRPODS4ANCWHI	Apple Airpods Gen 4 ANC	397503	195949689673
APP	APPMAGSAFEWLCHARGWHI	Apple MagSafe Wireless 15W Charger	314970	194252192467
APP	APPLIGHTUSBC1MCABWHI	Apple Lightning to USB Cable 1m	245065	888462314619
APP	APP40WCHARGERWHI	40W Dynamic Power Adapter with 60W Max	427157	195950673999
APP	APPAIRTAG4PKWHI	Apple AirTag 4 Pack White	332270	190199320338
APP	APPAIRTAG1PKWHI	Apple Airtag 1 Pack White	332269	190199320246
APP	APPAIRTAGLEAKEYRIBRO	Apple Air Tag Leather Key Ring Brown	-	190199314948
APP	APPAIRPODS4WHI	Apple Airpods Gen 4	397500	195949688591
APP	APPIPADPENCILV2	Apple Pencil (2nd Generation)	249121	190198893376
APP	APP20WUSBCADAPTERWHI	Apple 20W USB-C Power Adapter	315611	194252157039
ZAG	ZAGIPH17PMLUXBLA	Luxe Case iPhone 17 Pro Max Black	507623	840390357649
ZAG	ZAGIPH17PMLUXCLR	Luxe Case iPhone 17 Pro Max Clear	581780	840390367105
ZAG	ZAGIPH17PMMILSNPIRI	Milan Snap iPhone 17 Pro Max Iridescent	532009	840390359681
ZAG	ZAGIPH17PMSCSNPBLA	Santa Cruz Snap iPhone 17 Pro Max Jet Black	717340	840390358608
ZAG	ZAGIPH17PMSCSNPPIN	Santa Cruz Snap iPhone 17 Pro Max Pink Sorbet	574095	840390358806
ZAG	ZAGIPH17PMSCRZBLA	Santa Cruz iPhone 17 Pro Max Jet Black	532191	840390358202
ZAG	ZAGIPH17PMILSNPIRI	Milan Snap iPhone 17 Pro Iridescent	701608	840390359674
ZAG	ZAGIPH17PSCSNPBLA	Santa Cruz Snap iPhone 17 Pro Jet Black	637979	840390358592
ZAG	ZAGIPH17PSCSNPPIN	Santa Cruz Snap iPhone 17 Pro Pink Sorbet	681007	840390358790
ZAG	ZAGIPH17PSCRZBLA	Santa Cruz iPhone 17 Pro Jet Black	681031	840390358196
ZAG	ZAGIPH17PLUXBLA	Luxe Case iPhone 17 Pro Black	717314	840390357632
ZAG	ZAGIPH17PLUXCLR	Luxe Case iPhone 17 Pro Clear	744134	840390367099
ZAG	ZAGIPH17MILSNPIRI	Milan Snap iPhone 17 Iridescent	788464	840390359650
ZAG	ZAGIPH17SCSNPBLA	Santa Cruz Snap iPhone 17 Jet Black	644780	840390358578
ZAG	ZAGIPH17SCSNPPIN	Santa Cruz Snap iPhone 17 Pink Sorbet	744073	840390358776
ZAG	ZAGIPH17SCRZBLA	Santa Cruz iPhone 17 Jet Black	544686	840390358172
ZAG	ZAGIPH17LUXBLA	Luxe Case iPhone 17 Black	643836	840390357618
ZAG	ZAGIPH17LUXCLR	Luxe Case iPhone 17 Clear	590273	840390367075
ZAG	ZAGIPH17ALUXBLA	Luxe Case iPhone 17 Air Black	604661	840390357625
ZAG	ZAGIPH17ALUXCLR	Luxe Case iPhone 17 Air Clear	682070	840390367082
ZAG	ZAGIPH16CPCSECLR	Zagg CP iPhone 16 Case Clear	673462	840390318749
ZAG	ZAGIPH16MANSNPBLA	Zagg Man Snap iPhone 16 Case Black	691318	840390320308
ZAG	ZAGIPH16CPSNPCLR	Zagg CP Snap iPhone 16 Case Clear	565147	840390318787
ZAG	ZAGIPH16ESCCSEBLA	Zagg SC Case iPhone 16E/15/14/13	616385	840390351609
ZAG	ZAGIPH16ECPCSECLR	Zagg CP Case iPhone 16E/15/14/13	515588	840390351548
ZAG	ZAGIPH16ELUXBUN	Zagg Bundle iPhone 16E/14/13	596023	840390351708
DBM	DBIPH17PICELANDCLR	Iceland Ultra D3O - iPhone 17 Pro - Clear	565917	5711428067012
DBM	DBIPH17PMICELANDCLR	Iceland Ultra D3O - iPhone 17 Pro Max - Clear	566646	5711428067036
DBM	DBIPH17PMROSKILDBLA	Roskilde ICON - iPhone 17 Pro Max - Black	740670	5711428066435
DBM	DBIPH17PROSKILDBLA	Roskilde ICON - iPhone 17 Pro - Black	739652	5711428066411
DBM	DBIPH17ICELANDCLR	Iceland Ultra D3O - iPhone 17 - Clear	514093	5711428067005
DBM	DBIPH17ROSKILDBLA	Roskilde ICON - iPhone 17 - Black	697843	5711428066404
DBM	DBIPH17AICELANDCLR	Iceland Ultra D3O - iPhone 17 Air - Clear	563885	5711428067029
DBM	DBIPH17AROSKILDBLA	Roskilde ICON - iPhone 17 Air - Black	703609	5711428066428
DEF	DEFIPH16CSECLR	Defence iPhone 16 Case Clear	541841	840390322166
DEF	DEFIPH16EBUND	Defence Bundle iPhone 16E/14/13	512564	840390351715
DEF	DEFIPH16ECSECLR	Defence Case iPhone 16E/15/14/13	513848	840390351722
DEF	DEFIPH15FOLBLA	Defence Folio iPhone 15/14/13	698834	840056185418
INV	INVIPH16GLSELISP	InvisibleShield iPh16 Screen Protector	554120	840390317063
INV	INVIPH13GLSELITE	Invisible Shield Glass Elite for iPhone 12s/ 12s Pro	755959	840056148833
CGD	CGIPH13PGLSSCRNPRO	Clear Guard for iPhone 12s/12s Pro	613501	840056151451
ZAG	ZAGSAMS26ULUXBUN	Luxe Bundle for S26 Ultra	712749	840390384959
DBM	DBSAMS26ICEULTCLR	Iceland Ultra D3O Qi2 for S26	615117	5711428057259
ZAG	ZAGSAMS25EDGLUXBUN	Zagg S25 Edge Luxe Bundle	711520	840390355812
ZAG	ZAGSAMS25FELUXBUN	Zagg Luxe Bundle	512345	840390375926
ZAG	ZAGSAMA56LUXBUN	Zagg A56 Luxe Bundle	762758	840390350510
ZAG	ZAGSAMA26LUXBUN	Zagg A26 Luxe Bundle	666257	840390352187
ZAG	ZAGPIX10PXLLUXCSEBLA	Luxe Case for Pixel 10 Pro XL	717618	840390353672
ZAG	ZAGPIX10PXLCPCSECLR	Crystal Palace Case for Pixel 10 Pro XL	737304	840390353740
ZAG	ZAGPIX10PXLLUXBUN	Luxe Bundle for Pixel 10 Pro XL	595498	840390354662
ZAG	ZAGPIX10CPCSECLR	Crystal Palace Case for Pixel 10/Pro	663276	840390353726
ZAG	ZAGPIX10LUXBUN	Luxe Bundle for Pixel 10/Pro	697833	840390354679
ZAG	ZAGPIX10LUXCSEBLA	Luxe Case for Pixel 10/Pro	698341	840390353634
ZAG	ZAGPIX9LUXCSEBLA	Zagg Pixel 9 Luxe Case	501283	840390312419
DBM	DBSAMS26OSLOBLA	Oslo Pro - Black for S26	517006	5711428057372
DBM	DBSAMS26PICEULTCLR	Iceland Ultra D3O Qi2 for S26+	587157	5711428057242
DEF	DEFSAMA56BUN	Defence A56 Bundle	756338	840390350534
DEF	DEFSAMA36BUN	Defence A36 Bundle	662901	840390350527
DEF	DEFSAMA26BUN	Defence A26 Bundle	799063	840390352194
DEF	DEFSAMA17BUN	Defence A17 Bundle	548630	840390373724
DEF	DEFSAMA16BUN	Defence A16 Bundle	645847	840390341303
DBM	DBPIX10GREENLANDCLR	Greenland Case for Pixel 10	852131	5711428068521
GOO	GOOPIX10PXLCSEGRE	Pixel 10/Pro XL Case Grey	634176	840353927834
GOO	GOOPIX10PXLCSEBLA	Pixel 10/Pro XL Case Black	616105	840353927810
GOO	GOOPIX10CSEBLA	Pixel 10/Pro Case Black	595414	840353927858
GOO	GOOPIX10CSEBLU	Pixel 10/Pro Case Blue	598581	840353927919
DBM	DBSAMS26UICEULTCLR	Iceland Ultra D3O Qi2 for S26 Ultra	628246	5711428057266
INV	INVPIX10PXLGLSELTSP	Glass Elite for Pixel 10 Pro XL	778355	840390353412
INV	INVPIX10GLSELTSP	Glass Elite for Pixel 10/Pro	551450	840390353399
